Edad;Intervalo;variacion porc
0_15;13-14;0.111111111111111
0_15;14-15;-0.2
0_15;15-16;0.5
0_15;16-17;0.0833333333333333
0_15;17-18;-0.461538461538462
0_15;18-19;0
0_15;19-20;1
15_29;13-14;0.0598006644518272
15_29;14-15;-0.0721003134796238
15_29;15-16;-0.165540540540541
15_29;16-17;0.105263157894737
15_29;17-18;-0.0183150183150183
15_29;18-19;0.152985074626866
15_29;19-20;-0.029126213592233
30_39;13-14;-0.027027027027027
30_39;14-15;-0.152777777777778
30_39;15-16;0.0679156908665105
30_39;16-17;-0.0087719298245614
30_39;17-18;-0.123893805309735
30_39;18-19;0.0429292929292929
30_39;19-20;0.00484
40_44;13-14;0.0184696569920844
40_44;14-15;-0.0803108808290155
40_44;15-16;0
40_44;16-17;-0.0309859154929577
40_44;17-18;-0.0843023255813953
40_44;18-19;0.0857142857142857
40_44;19-20;0.0467836257309941
45_49;13-14;0.109223300970874
45_49;14-15;-0.153172866520788
45_49;15-16;-0.0981912144702842
45_49;16-17;0.0515759312320917
45_49;17-18;0.0708446866485014
45_49;18-19;-0.0101781170483461
45_49;19-20;0.0179948586118252
50_54;13-14;-0.0266666666666667
50_54;14-15;-0.150684931506849
50_54;15-16;0.0134408602150538
50_54;16-17;0.116710875331565
50_54;17-18;-0.104513064133017
50_54;18-19;0.0901856763925729
50_54;19-20;0.0705596107055961
55_59;13-14;-0.0339506172839506
55_59;14-15;0.060702875399361
55_59;15-16;-0.0271084337349398
55_59;16-17;0.120743034055728
55_59;17-18;0.0524861878453039
55_59;18-19;-0.0813648293963255
55_59;19-20;0.182857142857143
60_64;13-14;-0.00740740740740741
60_64;14-15;-0.0634328358208955
60_64;15-16;0.0756972111553785
60_64;16-17;-0.0703703703703704
60_64;17-18;0.0876494023904383
60_64;18-19;0.0732600732600733
60_64;19-20;0.116040955631399
65_69;13-14;-0.00389105058365759
65_69;14-15;-0.109375
65_69;15-16;0.153508771929825
65_69;16-17;-0.125475285171103
65_69;17-18;0.0391304347826087
65_69;18-19;-0.0334728033472803
65_69;19-20;0.0606060606060606
70_74;13-14;-0.129554655870445
70_74;14-15;-0.0418604651162791
70_74;15-16;0.029126213592233
70_74;16-17;0.155660377358491
70_74;17-18;-0.0612244897959184
70_74;18-19;0.0434782608695652
70_74;19-20;0.1
75_79;13-14;-0.031496062992126
75_79;14-15;0.0040650406504065
75_79;15-16;-0.0445344129554656
75_79;16-17;-0.135593220338983
75_79;17-18;-0.151960784313725
75_79;18-19;0.317919075144509
75_79;19-20;-0.0175438596491228
80_84;13-14;-0.0972762645914397
80_84;14-15;0.0991379310344828
80_84;15-16;-0.0941176470588235
80_84;16-17;0.121212121212121
80_84;17-18;-0.11969111969112
80_84;18-19;-0.0614035087719298
80_84;19-20;0.121495327102804
85_89;13-14;0.37956204379562
85_89;14-15;-0.148148148148148
85_89;15-16;-0.111801242236025
85_89;16-17;0.258741258741259
85_89;17-18;-0.0277777777777778
85_89;18-19;-0.154285714285714
85_89;19-20;0.25
90_94;13-14;0.533333333333333
90_94;14-15;-0.072463768115942
90_94;15-16;0.234375
90_94;16-17;-0.189873417721519
90_94;17-18;0.140625
90_94;18-19;0.10958904109589
90_94;19-20;0.209876543209877
95_mas;13-14;-0.2
95_mas;14-15;0.625
95_mas;15-16;0.230769230769231
95_mas;16-17;-0.125
95_mas;17-18;-0.214285714285714
95_mas;18-19;0.363636363636364
95_mas;19-20;0.666666666666667
