Edad;Sexo;Total
0;M;166335
1;M;176491
2;M;185762
3;M;197983
4;M;209725
5;M;215066
6;M;217837
7;M;215990
8;M;227347
9;M;235636
10;M;238140
11;M;242141
12;M;255151
13;M;246755
14;M;245614
15;M;242050
16;M;239543
17;M;236834
18;M;228927
19;M;231627
20;M;233155
21;M;232804
22;M;228078
23;M;234689
24;M;235708
25;M;236526
26;M;241511
27;M;251508
28;M;259910
29;M;258433
30;M;263957
31;M;268622
32;M;274162
33;M;278502
34;M;286664
35;M;296022
36;M;307854
37;M;318014
38;M;335816
39;M;349785
40;M;366577
41;M;376973
42;M;392368
43;M;395540
44;M;403605
45;M;399278
46;M;397437
47;M;386937
48;M;385670
49;M;380421
50;M;375349
51;M;372323
52;M;369590
53;M;372469
54;M;362990
55;M;361554
56;M;365768
57;M;347731
58;M;336926
59;M;328792
60;M;329854
61;M;320212
62;M;312570
63;M;304995
64;M;284657
65;M;275745
66;M;263410
67;M;261981
68;M;259173
69;M;242784
70;M;236906
71;M;245898
72;M;255121
73;M;231754
74;M;220616
75;M;228438
76;M;214728
77;M;208538
78;M;177514
79;M;160952
80;M;194361
81;M;127608
82;M;139728
83;M;151454
84;M;160611
85;M;146245
86;M;136833
87;M;129915
88;M;117624
89;M;99787
90;M;90054
91;M;73008
92;M;61141
93;M;47207
94;M;38517
95;M;29245
96;M;22043
97;M;15841
98;M;11454
99;M;7422
100;M;4207
101;M;2485
102;M;1567
103;M;898
104;M;567
105;M;721
