Medio empleado;Medio empleado;Sexo;Edad;Total;Año
Total;Total;A;Todas las edades;3870;2013
Total;Total;A;0_15;9;2013
Total;Total;A;15_29;301;2013
Total;Total;A;30_39;518;2013
Total;Total;A;40_44;379;2013
Total;Total;A;45_49;412;2013
Total;Total;A;50_54;450;2013
Total;Total;A;55_59;324;2013
Total;Total;A;60_64;270;2013
Total;Total;A;65_69;257;2013
Total;Total;A;70_74;247;2013
Total;Total;A;75_79;254;2013
Total;Total;A;80_84;257;2013
Total;Total;A;85_89;137;2013
Total;Total;A;90_94;45;2013
Total;Total;A;95_mas;10;2013
Total;Total;H;Todas las edades;2911;2013
Total;Total;H;0_15;6;2013
Total;Total;H;15_29;225;2013
Total;Total;H;30_39;395;2013
Total;Total;H;40_44;285;2013
Total;Total;H;45_49;319;2013
Total;Total;H;50_54;340;2013
Total;Total;H;55_59;237;2013
Total;Total;H;60_64;205;2013
Total;Total;H;65_69;187;2013
Total;Total;H;70_74;182;2013
Total;Total;H;75_79;181;2013
Total;Total;H;80_84;203;2013
Total;Total;H;85_89;106;2013
Total;Total;H;90_94;35;2013
Total;Total;H;95_mas;5;2013
Total;Total;M;Todas las edades;959;2013
Total;Total;M;0_15;3;2013
Total;Total;M;15_29;76;2013
Total;Total;M;30_39;123;2013
Total;Total;M;40_44;94;2013
Total;Total;M;45_49;93;2013
Total;Total;M;50_54;110;2013
Total;Total;M;55_59;87;2013
Total;Total;M;60_64;65;2013
Total;Total;M;65_69;70;2013
Total;Total;M;70_74;65;2013
Total;Total;M;75_79;73;2013
Total;Total;M;80_84;54;2013
Total;Total;M;85_89;31;2013
Total;Total;M;90_94;10;2013
Total;Total;M;95_mas;5;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;Todas las edades;5;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;0_15;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;15_29;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;30_39;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;40_44;2;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;45_49;2;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;50_54;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;55_59;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;60_64;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;65_69;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;70_74;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;75_79;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;80_84;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;85_89;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;90_94;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;95_mas;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;Todas las edades;2;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;0_15;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;15_29;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;30_39;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;40_44;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;45_49;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;50_54;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;55_59;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;60_64;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;65_69;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;70_74;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;75_79;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;80_84;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;85_89;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;90_94;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;95_mas;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;Todas las edades;3;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;0_15;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;15_29;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;30_39;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;40_44;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;45_49;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;50_54;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;55_59;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;60_64;1;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;65_69;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;70_74;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;75_79;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;80_84;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;85_89;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;90_94;0;2013
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;95_mas;0;2013
